stfips,areatype,area,periodyear,periodtype,period,rate
00,00,000000,2019,03,01,2.37
00,00,000000,2019,03,02,2.39
00,00,000000,2019,03,03,2.4
00,00,000000,2019,03,04,2.38
00,00,000000,2019,03,05,2.35
00,00,000000,2019,03,06,2.17
00,00,000000,2019,03,07,2.1
00,00,000000,2019,03,08,1.95
00,00,000000,2019,03,09,1.89
00,00,000000,2019,03,10,1.65
00,00,000000,2019,03,11,1.54
00,00,000000,2019,03,12,1.54
00,00,000000,2020,03,01,1.52
00,00,000000,2020,03,02,1.52
00,00,000000,2020,03,03,0.29
