stfips,areatype,area,periodyear,periodtype,period,cdate,tests,totalcases,newcases,totaldeaths,newdeaths
35,01,000000,2020,68,72,2020-03-12T00:00:00,104,4,4,0,0
35,01,000000,2020,68,73,2020-03-13T00:00:00,178,6,2,0,0
35,01,000000,2020,68,74,2020-03-14T00:00:00,423,10,4,0,0
35,01,000000,2020,68,75,2020-03-15T00:00:00,511,13,3,0,0
35,01,000000,2020,68,76,2020-03-16T00:00:00,1198,17,4,0,0
35,01,000000,2020,68,77,2020-03-17T00:00:00,1648,21,4,0,0
35,01,000000,2020,68,78,2020-03-18T00:00:00,2282,23,2,0,0
35,01,000000,2020,68,79,2020-03-19T00:00:00,2725,28,5,0,0
35,01,000000,2020,68,80,2020-03-20T00:00:00,3742,35,7,0,0
35,01,000000,2020,68,81,2020-03-21T00:00:00,4707,43,8,0,0
35,01,000000,2020,68,82,2020-03-22T00:00:00,5314,57,14,0,0
35,01,000000,2020,68,83,2020-03-23T00:00:00,5901,65,8,0,0
35,01,000000,2020,68,84,2020-03-24T00:00:00,6770,83,18,0,0
35,01,000000,2020,68,85,2020-03-25T00:00:00,6842,100,17,1,1
35,01,000000,2020,68,86,2020-03-26T00:00:00,8513,136,36,1,0
35,01,000000,2020,68,87,2020-03-27T00:00:00,9387,191,55,1,0
35,01,000000,2020,68,88,2020-03-28T00:00:00,10113,208,17,2,1
35,01,000000,2020,68,89,2020-03-29T00:00:00,11179,237,29,2,0
35,01,000000,2020,68,90,2020-03-30T00:00:00,12527,281,44,4,2
35,01,000000,2020,68,91,2020-03-31T00:00:00,13240,315,34,5,1
35,01,000000,2020,68,92,2020-04-01T00:00:00,14011,363,48,6,2
35,01,000000,2020,68,93,2020-04-02T00:00:00,14778,403,40,7,2
35,01,000000,2020,68,94,2020-04-03T00:00:00,15632,495,92,10,4
35,01,000000,2020,68,95,2020-04-04T00:00:00,16828,543,48,11,1
35,01,000000,2020,68,96,2020-04-05T00:00:00,19136,624,81,12,1
35,01,000000,2020,68,97,2020-04-06T00:00:00,21825,686,62,12,0
35,01,000000,2020,68,98,2020-04-07T00:00:00,21933,794,108,13,1
35,01,000000,2020,68,99,2020-04-08T00:00:00,23807,865,71,16,3
35,01,000000,2020,68,100,2020-04-09T00:00:00,25241,989,124,17,1
35,01,000000,2020,68,101,2020-04-10T00:00:00,27000,1091,102,19,2
35,01,000000,2020,68,102,2020-04-11T00:00:00,28692,1174,83,20,1
35,01,000000,2020,68,103,2020-04-12T00:00:00,30515,1245,71,26,6
35,01,000000,2020,68,105,2020-04-14T00:00:00,32850,1407,62,36,5
35,01,000000,2020,68,106,2020-04-15T00:00:00,33394,1484,77,36,0
35,01,000000,2020,68,107,2020-04-16T00:00:00,34488,1597,113,44,8
35,01,000000,2020,68,108,2020-04-17T00:00:00,35613,1711,114,51,7
35,01,000000,2020,68,109,2020-04-18T00:00:00,36632,1798,87,53,2
35,01,000000,2020,68,110,2020-04-19T00:00:00,37042,1845,47,55,2
35,01,000000,2020,68,111,2020-04-20T00:00:00,38755,1971,126,58,3
35,01,000000,2020,68,112,2020-04-21T00:00:00,40877,2072,101,65,7
35,01,000000,2020,68,113,2020-04-22T00:00:00,41232,2210,138,71,6
35,01,000000,2020,68,114,2020-04-23T00:00:00,45563,2379,169,78,7
35,01,000000,2020,68,115,2020-04-24T00:00:00,51510,2521,142,84,6
35,01,000000,2020,68,116,2020-04-25T00:00:00,53735,2660,139,93,9
