stfips,areatype,area,periodyear,periodtype,period,cdate,tests,totalcases,newcases,totaldeaths,newdeaths
00,00,000000,2020,68,12,2020-01-12T00:00:00,null,0,0,0,0
00,00,000000,2020,68,13,2020-01-13T00:00:00,null,0,0,0,0
00,00,000000,2020,68,14,2020-01-14T00:00:00,null,0,0,0,0
00,00,000000,2020,68,15,2020-01-15T00:00:00,null,0,0,0,0
00,00,000000,2020,68,16,2020-01-16T00:00:00,null,0,0,0,0
00,00,000000,2020,68,17,2020-01-17T00:00:00,null,0,0,0,0
00,00,000000,2020,68,18,2020-01-18T00:00:00,null,0,0,0,0
00,00,000000,2020,68,19,2020-01-19T00:00:00,null,0,0,0,0
00,00,000000,2020,68,20,2020-01-20T00:00:00,null,0,0,0,0
00,00,000000,2020,68,21,2020-01-21T00:00:00,null,0,0,0,0
00,00,000000,2020,68,22,2020-01-22T00:00:00,null,0,0,0,0
00,00,000000,2020,68,23,2020-01-23T00:00:00,null,0,0,0,0
00,00,000000,2020,68,24,2020-01-24T00:00:00,null,1,1,0,0
00,00,000000,2020,68,25,2020-01-25T00:00:00,null,1,0,0,0
00,00,000000,2020,68,26,2020-01-26T00:00:00,null,4,3,0,0
00,00,000000,2020,68,27,2020-01-27T00:00:00,null,4,0,0,0
00,00,000000,2020,68,28,2020-01-28T00:00:00,null,4,0,0,0
00,00,000000,2020,68,29,2020-01-29T00:00:00,null,4,0,0,0
00,00,000000,2020,68,30,2020-01-30T00:00:00,null,4,0,0,0
00,00,000000,2020,68,31,2020-01-31T00:00:00,null,6,2,0,0
00,00,000000,2020,68,32,2020-02-01T00:00:00,null,7,1,0,0
00,00,000000,2020,68,33,2020-02-02T00:00:00,null,7,0,0,0
00,00,000000,2020,68,34,2020-02-03T00:00:00,null,10,3,0,0
00,00,000000,2020,68,35,2020-02-04T00:00:00,null,10,0,0,0
00,00,000000,2020,68,36,2020-02-05T00:00:00,null,10,0,0,0
00,00,000000,2020,68,37,2020-02-06T00:00:00,null,10,0,0,0
00,00,000000,2020,68,38,2020-02-07T00:00:00,null,10,0,0,0
00,00,000000,2020,68,39,2020-02-08T00:00:00,null,10,0,0,0
00,00,000000,2020,68,40,2020-02-09T00:00:00,null,10,0,0,0
00,00,000000,2020,68,41,2020-02-10T00:00:00,null,10,0,0,0
00,00,000000,2020,68,42,2020-02-11T00:00:00,null,11,1,0,0
00,00,000000,2020,68,43,2020-02-12T00:00:00,null,11,0,0,0
00,00,000000,2020,68,44,2020-02-13T00:00:00,null,12,1,0,0
00,00,000000,2020,68,45,2020-02-14T00:00:00,null,12,0,0,0
00,00,000000,2020,68,46,2020-02-15T00:00:00,null,12,0,0,0
