stfips,area,areatype,periodtype,periodyear,period,labforce,emplab,unemp,unemprate
00,000000,00,03,2019,01,163142000,156627000,6516000,4
00,000000,00,03,2019,02,163047000,156866000,6181000,3.8
00,000000,00,03,2019,03,162935000,156741000,6194000,3.8
00,000000,00,03,2019,04,162546000,156696000,5850000,3.6
00,000000,00,03,2019,05,162782000,156844000,5938000,3.6
00,000000,00,03,2019,06,163133000,157148000,5985000,3.7
00,000000,00,03,2019,07,163373000,157346000,6027000,3.7
00,000000,00,03,2019,08,163894000,157895000,5999000,3.7
00,000000,00,03,2019,09,164051000,158298000,5753000,3.5
00,000000,00,03,2019,10,164401000,158544000,5857000,3.6
00,000000,00,03,2019,11,164347000,158536000,5811000,3.5
00,000000,00,03,2019,12,164556000,158803000,5753000,3.5
00,000000,00,03,2020,01,164606000,158714000,5892000,3.6
00,000000,00,03,2020,02,164546000,158759000,5787000,3.5
