stfips,areatype,area,periodyear,periodtype,period,rigs
35,77,000000,2019,03,01,108
35,77,000000,2019,03,02,110
35,77,000000,2019,03,03,105
35,77,000000,2019,03,04,105
35,77,000000,2019,03,05,102
35,77,000000,2019,03,06,100
35,77,000000,2019,03,07,105
35,77,000000,2019,03,08,109
35,77,000000,2019,03,09,109
35,77,000000,2019,03,10,112
35,77,000000,2019,03,11,105
35,77,000000,2019,03,12,103
35,77,000000,2020,03,01,106
35,77,000000,2020,03,02,114
35,77,000000,2020,03,03,114
35,77,000000,2020,03,04,100
