stfips,areatype,area,periodyear,periodtype,period,wtidate,wtivalue
00,00,000000,2019,68,2,2019-01-02T00:00:00,46.31
00,00,000000,2019,68,3,2019-01-03T00:00:00,46.92
00,00,000000,2019,68,4,2019-01-04T00:00:00,47.76
00,00,000000,2019,68,7,2019-01-07T00:00:00,48.27
00,00,000000,2019,68,8,2019-01-08T00:00:00,49.58
00,00,000000,2019,68,9,2019-01-09T00:00:00,52.19
00,00,000000,2019,68,10,2019-01-10T00:00:00,52.42
00,00,000000,2019,68,11,2019-01-11T00:00:00,51.44
00,00,000000,2019,68,14,2019-01-14T00:00:00,50.31
00,00,000000,2019,68,15,2019-01-15T00:00:00,51.8
00,00,000000,2019,68,16,2019-01-16T00:00:00,52.08
00,00,000000,2019,68,17,2019-01-17T00:00:00,51.83
00,00,000000,2019,68,18,2019-01-18T00:00:00,53.6
00,00,000000,2019,68,22,2019-01-22T00:00:00,52.59
00,00,000000,2019,68,23,2019-01-23T00:00:00,52.44
00,00,000000,2019,68,24,2019-01-24T00:00:00,52.94
00,00,000000,2019,68,25,2019-01-25T00:00:00,53.53
00,00,000000,2019,68,28,2019-01-28T00:00:00,51.79
00,00,000000,2019,68,29,2019-01-29T00:00:00,53.07
00,00,000000,2019,68,30,2019-01-30T00:00:00,54.18
00,00,000000,2019,68,31,2019-01-31T00:00:00,53.84
00,00,000000,2019,68,32,2019-02-01T00:00:00,55.29
00,00,000000,2019,68,35,2019-02-04T00:00:00,54.57
00,00,000000,2019,68,36,2019-02-05T00:00:00,53.69
00,00,000000,2019,68,37,2019-02-06T00:00:00,53.94
00,00,000000,2019,68,38,2019-02-07T00:00:00,52.68
00,00,000000,2019,68,39,2019-02-08T00:00:00,52.75
00,00,000000,2019,68,42,2019-02-11T00:00:00,52.43
00,00,000000,2019,68,43,2019-02-12T00:00:00,53.14
00,00,000000,2019,68,44,2019-02-13T00:00:00,53.84
00,00,000000,2019,68,45,2019-02-14T00:00:00,54.4
00,00,000000,2019,68,46,2019-02-15T00:00:00,55.58
00,00,000000,2019,68,50,2019-02-19T00:00:00,56.12
00,00,000000,2019,68,51,2019-02-20T00:00:00,56.9
00,00,000000,2019,68,52,2019-02-21T00:00:00,56.95
00,00,000000,2019,68,53,2019-02-22T00:00:00,57.01
00,00,000000,2019,68,56,2019-02-25T00:00:00,55.32
00,00,000000,2019,68,57,2019-02-26T00:00:00,55.4
00,00,000000,2019,68,58,2019-02-27T00:00:00,56.92
00,00,000000,2019,68,59,2019-02-28T00:00:00,57.21
00,00,000000,2019,68,60,2019-03-01T00:00:00,55.76
00,00,000000,2019,68,63,2019-03-04T00:00:00,56.6
00,00,000000,2019,68,64,2019-03-05T00:00:00,56.55
00,00,000000,2019,68,65,2019-03-06T00:00:00,56.22
00,00,000000,2019,68,66,2019-03-07T00:00:00,56.6
00,00,000000,2019,68,67,2019-03-08T00:00:00,55.77
00,00,000000,2019,68,70,2019-03-11T00:00:00,56.79
00,00,000000,2019,68,71,2019-03-12T00:00:00,56.89
00,00,000000,2019,68,72,2019-03-13T00:00:00,58.27
00,00,000000,2019,68,73,2019-03-14T00:00:00,58.59
00,00,000000,2019,68,74,2019-03-15T00:00:00,58.51
00,00,000000,2019,68,77,2019-03-18T00:00:00,59.09
00,00,000000,2019,68,78,2019-03-19T00:00:00,59.12
00,00,000000,2019,68,79,2019-03-20T00:00:00,60.12
00,00,000000,2019,68,80,2019-03-21T00:00:00,59.98
00,00,000000,2019,68,81,2019-03-22T00:00:00,58.87
00,00,000000,2019,68,84,2019-03-25T00:00:00,58.71
00,00,000000,2019,68,85,2019-03-26T00:00:00,59.87
00,00,000000,2019,68,86,2019-03-27T00:00:00,59.39
00,00,000000,2019,68,87,2019-03-28T00:00:00,59.29
00,00,000000,2019,68,88,2019-03-29T00:00:00,60.19
00,00,000000,2019,68,91,2019-04-01T00:00:00,61.59
00,00,000000,2019,68,92,2019-04-02T00:00:00,62.53
00,00,000000,2019,68,93,2019-04-03T00:00:00,62.46
00,00,000000,2019,68,94,2019-04-04T00:00:00,62.12
00,00,000000,2019,68,95,2019-04-05T00:00:00,63.1
00,00,000000,2019,68,98,2019-04-08T00:00:00,64.37
00,00,000000,2019,68,99,2019-04-09T00:00:00,64.05
00,00,000000,2019,68,100,2019-04-10T00:00:00,64.62
00,00,000000,2019,68,101,2019-04-11T00:00:00,63.61
00,00,000000,2019,68,102,2019-04-12T00:00:00,63.86
00,00,000000,2019,68,105,2019-04-15T00:00:00,63.43
00,00,000000,2019,68,106,2019-04-16T00:00:00,64.01
00,00,000000,2019,68,107,2019-04-17T00:00:00,63.74
00,00,000000,2019,68,108,2019-04-18T00:00:00,64.02
00,00,000000,2019,68,112,2019-04-22T00:00:00,65.66
00,00,000000,2019,68,113,2019-04-23T00:00:00,66.24
00,00,000000,2019,68,114,2019-04-24T00:00:00,65.96
00,00,000000,2019,68,115,2019-04-25T00:00:00,65.23
00,00,000000,2019,68,116,2019-04-26T00:00:00,63.29
00,00,000000,2019,68,119,2019-04-29T00:00:00,63.39
00,00,000000,2019,68,120,2019-04-30T00:00:00,63.83
00,00,000000,2019,68,121,2019-05-01T00:00:00,63.55
00,00,000000,2019,68,122,2019-05-02T00:00:00,61.75
00,00,000000,2019,68,123,2019-05-03T00:00:00,61.98
00,00,000000,2019,68,126,2019-05-06T00:00:00,62.3
00,00,000000,2019,68,127,2019-05-07T00:00:00,61.41
00,00,000000,2019,68,128,2019-05-08T00:00:00,62.13
00,00,000000,2019,68,129,2019-05-09T00:00:00,61.58
00,00,000000,2019,68,130,2019-05-10T00:00:00,61.65
00,00,000000,2019,68,133,2019-05-13T00:00:00,60.97
00,00,000000,2019,68,134,2019-05-14T00:00:00,61.82
00,00,000000,2019,68,135,2019-05-15T00:00:00,62.03
00,00,000000,2019,68,136,2019-05-16T00:00:00,62.93
00,00,000000,2019,68,137,2019-05-17T00:00:00,62.77
00,00,000000,2019,68,140,2019-05-20T00:00:00,63.12
00,00,000000,2019,68,141,2019-05-21T00:00:00,63.02
00,00,000000,2019,68,142,2019-05-22T00:00:00,61.42
00,00,000000,2019,68,143,2019-05-23T00:00:00,57.65
00,00,000000,2019,68,144,2019-05-24T00:00:00,58.4
00,00,000000,2019,68,148,2019-05-28T00:00:00,58.91
00,00,000000,2019,68,149,2019-05-29T00:00:00,58.84
00,00,000000,2019,68,150,2019-05-30T00:00:00,56.47
00,00,000000,2019,68,151,2019-05-31T00:00:00,53.49
00,00,000000,2019,68,154,2019-06-03T00:00:00,53.25
00,00,000000,2019,68,155,2019-06-04T00:00:00,53.5
00,00,000000,2019,68,156,2019-06-05T00:00:00,51.57
00,00,000000,2019,68,157,2019-06-06T00:00:00,52.59
00,00,000000,2019,68,158,2019-06-07T00:00:00,53.95
00,00,000000,2019,68,161,2019-06-10T00:00:00,53.33
00,00,000000,2019,68,162,2019-06-11T00:00:00,53.3
00,00,000000,2019,68,163,2019-06-12T00:00:00,51.13
00,00,000000,2019,68,164,2019-06-13T00:00:00,52.38
00,00,000000,2019,68,165,2019-06-14T00:00:00,52.47
00,00,000000,2019,68,168,2019-06-17T00:00:00,51.94
00,00,000000,2019,68,169,2019-06-18T00:00:00,53.86
00,00,000000,2019,68,170,2019-06-19T00:00:00,53.74
00,00,000000,2019,68,171,2019-06-20T00:00:00,56.88
00,00,000000,2019,68,172,2019-06-21T00:00:00,57.35
00,00,000000,2019,68,175,2019-06-24T00:00:00,57.73
00,00,000000,2019,68,176,2019-06-25T00:00:00,57.63
