Date,Adj Close (^IXIC),Volume (^IXIC)
1/2/2018,7006.899902,1914930000
1/3/2018,7065.529785,2166780000
1/4/2018,7077.910156,2098890000
1/5/2018,7136.560059,2020900000
1/8/2018,7157.390137,2051430000
1/9/2018,7163.580078,2107300000
1/10/2018,7153.569824,2122740000
1/11/2018,7211.779785,2009740000
1/12/2018,7261.060059,1976200000
1/16/2018,7223.689941,2377140000
1/17/2018,7298.279785,2238070000
1/18/2018,7296.049805,2026220000
1/19/2018,7336.379883,1997270000
1/22/2018,7408.029785,2106070000
1/23/2018,7460.290039,2119840000
1/24/2018,7415.060059,2277010000
1/25/2018,7411.160156,2061450000
1/26/2018,7505.77002,2059010000
1/29/2018,7466.509766,2103380000
1/30/2018,7402.47998,2163980000
1/31/2018,7411.47998,2407540000
2/1/2018,7385.859863,2291680000
2/2/2018,7240.950195,2587770000
2/5/2018,6967.529785,3106870000
2/6/2018,7115.879883,3131030000
2/7/2018,7051.97998,2366970000
2/8/2018,6777.160156,2707700000
2/9/2018,6874.490234,3155990000
2/12/2018,6981.959961,2240420000
2/13/2018,7013.509766,1816670000
2/14/2018,7143.620117,2211460000
2/15/2018,7256.430176,2110700000
2/16/2018,7239.470215,2019830000
2/20/2018,7234.310059,1911170000
2/21/2018,7218.22998,1946010000
2/22/2018,7210.089844,1911900000
2/23/2018,7337.390137,1879460000
2/26/2018,7421.459961,1866610000
2/27/2018,7330.350098,2155850000
2/28/2018,7273.009766,2373880000
3/1/2018,7180.560059,2489040000
3/2/2018,7257.870117,2287320000
3/5/2018,7330.709961,2066350000
3/6/2018,7372.009766,2112570000
3/7/2018,7396.649902,2192230000
3/8/2018,7427.950195,2272110000
3/9/2018,7560.810059,2302930000
3/12/2018,7588.319824,2294440000
3/13/2018,7511.009766,2448830000
3/14/2018,7496.810059,2104450000
3/15/2018,7481.740234,1991570000
3/16/2018,7481.990234,3046990000
3/19/2018,7344.240234,2327430000
3/20/2018,7364.299805,1967690000
3/21/2018,7345.290039,1988390000
3/22/2018,7166.680176,2347160000
3/23/2018,6992.669922,2390410000
3/26/2018,7220.540039,2326060000
3/27/2018,7008.810059,2325990000
3/28/2018,6949.22998,2518670000
3/29/2018,7063.450195,2554500000
4/2/2018,6870.120117,2394730000
4/3/2018,6941.279785,2328510000
4/4/2018,7042.109863,2254070000
4/5/2018,7076.549805,2124660000
4/6/2018,6915.109863,2350540000
4/9/2018,6950.339844,2080900000
4/10/2018,7094.299805,2238770000
4/11/2018,7069.029785,1852120000
4/12/2018,7140.25,2021110000
4/13/2018,7106.649902,1743640000
4/16/2018,7156.279785,1795950000
4/17/2018,7281.100098,1913230000
4/18/2018,7295.240234,1893220000
4/19/2018,7238.060059,1963950000
4/20/2018,7146.129883,1921790000
4/23/2018,7128.600098,1737370000
4/24/2018,7007.350098,2149250000
4/25/2018,7003.740234,2026690000
4/26/2018,7118.680176,2127140000
4/27/2018,7119.799805,2027530000
4/30/2018,7066.27002,1987020000
5/1/2018,7130.700195,1929110000
5/2/2018,7100.899902,2144200000
5/3/2018,7088.149902,2345740000
5/4/2018,7209.620117,2022230000
5/7/2018,7265.209961,1939980000
5/8/2018,7266.899902,2054830000
5/9/2018,7339.910156,2241480000
5/10/2018,7404.970215,2233460000
5/11/2018,7402.879883,2083030000
5/14/2018,7411.319824,2075670000
5/15/2018,7351.629883,2114040000
5/16/2018,7398.299805,2083660000
5/17/2018,7382.470215,1931700000
5/18/2018,7354.339844,1966710000
5/21/2018,7394.040039,1949100000
5/22/2018,7378.459961,1908280000
5/23/2018,7425.959961,1980450000
5/24/2018,7424.430176,1992460000
5/25/2018,7433.850098,1757660000
5/29/2018,7396.589844,2087370000
5/30/2018,7462.450195,2049450000
5/31/2018,7442.120117,2514610000
6/1/2018,7554.330078,2208600000
6/4/2018,7606.459961,2142790000
6/5/2018,7637.859863,2058630000
6/6/2018,7689.240234,2191750000
6/7/2018,7635.069824,2328280000
6/8/2018,7645.509766,1941580000
6/11/2018,7659.930176,1942940000
6/12/2018,7703.790039,2006760000
6/13/2018,7695.700195,2172770000
6/14/2018,7761.040039,2188230000
6/15/2018,7746.379883,3043790000
6/18/2018,7747.029785,2093950000
6/19/2018,7725.589844,2269000000
6/20/2018,7781.509766,2305100000
6/21/2018,7712.950195,2315880000
6/22/2018,7692.819824,3928340000
6/25/2018,7532.009766,2415090000
6/26/2018,7561.629883,2058640000
6/27/2018,7445.080078,2306430000
6/28/2018,7503.680176,2195400000
6/29/2018,7510.299805,2192010000
7/2/2018,7567.689941,1767910000
7/3/2018,7502.669922,1179310000
7/5/2018,7586.430176,1745030000
7/6/2018,7688.390137,1704580000
7/9/2018,7756.200195,1837330000
7/10/2018,7759.200195,1725210000
7/11/2018,7716.609863,1761420000
7/12/2018,7823.919922,1926110000
7/13/2018,7825.97998,1714140000
7/16/2018,7805.720215,1730190000
7/17/2018,7855.120117,1740680000
7/18/2018,7854.439941,1857670000
7/19/2018,7825.299805,1853030000
7/20/2018,7820.200195,1786250000
7/23/2018,7841.870117,1654290000
7/24/2018,7840.77002,2014850000
7/25/2018,7932.240234,1902790000
7/26/2018,7852.180176,2263070000
7/27/2018,7737.419922,2176170000
7/30/2018,7630,2143410000
7/31/2018,7671.790039,2195050000
8/1/2018,7707.290039,2223550000
8/2/2018,7802.689941,2081300000
8/3/2018,7812.009766,2018700000
8/6/2018,7859.680176,2238170000
8/7/2018,7883.660156,2197590000
8/8/2018,7888.330078,2087850000
8/9/2018,7891.779785,2032950000
8/10/2018,7839.109863,2095180000
8/13/2018,7819.709961,1914240000
8/14/2018,7870.890137,1917360000
8/15/2018,7774.120117,2286960000
8/16/2018,7806.52002,1979540000
8/17/2018,7816.330078,1843150000
8/20/2018,7821.009766,1698970000
8/21/2018,7859.169922,1766630000
8/22/2018,7889.100098,1660460000
8/23/2018,7878.459961,1879890000
8/24/2018,7945.97998,1886600000
8/27/2018,8017.899902,2319130000
8/28/2018,8030.040039,1961300000
8/29/2018,8109.689941,1897000000
8/30/2018,8088.359863,2014450000
8/31/2018,8109.540039,1899910000
9/4/2018,8091.25,2229520000
9/5/2018,7995.169922,2596780000
9/6/2018,7922.72998,2368680000
9/7/2018,7902.540039,2146380000
9/10/2018,7924.160156,2041450000
9/11/2018,7972.470215,2336600000
9/12/2018,7954.22998,2341850000
9/13/2018,8013.709961,2318720000
9/14/2018,8010.040039,2033720000
9/17/2018,7895.790039,2284140000
9/18/2018,7956.109863,2317990000
9/19/2018,7950.040039,2156730000
9/20/2018,8028.22998,2287150000
9/21/2018,7986.959961,3706820000
9/24/2018,7993.25,2416380000
9/25/2018,8007.470215,2288140000
9/26/2018,7990.370117,2297030000
9/27/2018,8041.970215,2053770000
9/28/2018,8046.350098,2323940000
10/1/2018,8037.299805,2283230000
10/2/2018,7999.549805,2391370000
10/3/2018,8025.089844,3057330000
10/4/2018,7879.509766,3284550000
10/5/2018,7788.450195,2672900000
10/8/2018,7735.950195,2239640000
10/9/2018,7738.02002,2459040000
10/10/2018,7422.049805,3077330000
10/11/2018,7329.060059,3139290000
10/12/2018,7496.890137,2650290000
10/15/2018,7430.740234,2148850000
10/16/2018,7645.490234,2623300000
10/17/2018,7642.700195,2364720000
10/18/2018,7485.140137,2545950000
10/19/2018,7449.029785,2532220000
10/22/2018,7468.629883,2282400000
10/23/2018,7437.540039,2735820000
10/24/2018,7108.399902,2935550000
10/25/2018,7318.339844,2741810000
10/26/2018,7167.209961,2964780000
10/29/2018,7050.290039,2689550000
10/30/2018,7161.649902,2681310000
10/31/2018,7305.899902,2899730000
