Date,Initial unemployment claims (Seasonally adjusted)
1/6/2018,251000
1/13/2018,229000
1/20/2018,237000
1/27/2018,221000
2/3/2018,221000
2/10/2018,224000
2/17/2018,220000
2/24/2018,215000
3/3/2018,226000
3/10/2018,223000
3/17/2018,224000
3/24/2018,220000
3/31/2018,237000
4/7/2018,234000
4/14/2018,235000
4/21/2018,207000
4/28/2018,212000
5/5/2018,210000
5/12/2018,224000
5/19/2018,230000
5/26/2018,221000
6/2/2018,221000
6/9/2018,218000
6/16/2018,220000
6/23/2018,220000
6/30/2018,228000
7/7/2018,215000
7/14/2018,212000
7/21/2018,220000
7/28/2018,218000
8/4/2018,218000
8/11/2018,213000
8/18/2018,216000
8/25/2018,214000
9/1/2018,210000
9/8/2018,211000
9/15/2018,213000
9/22/2018,212000
9/29/2018,217000
10/6/2018,213000
10/13/2018,213000
10/20/2018,219000
10/27/2018,217000
11/3/2018,217000
11/10/2018,218000
11/17/2018,222000
11/24/2018,232000
12/1/2018,232000
12/8/2018,203000
12/15/2018,216000
12/22/2018,219000
12/29/2018,228000
1/5/2019,220000
1/12/2019,216000
1/19/2019,209000
1/26/2019,236000
2/2/2019,230000
2/9/2019,228000
2/16/2019,218000
2/23/2019,224000
3/2/2019,220000
3/9/2019,224000
3/16/2019,219000
3/23/2019,215000
3/30/2019,211000
4/6/2019,203000
4/13/2019,203000
4/20/2019,226000
4/27/2019,230000
5/4/2019,225000
5/11/2019,217000
5/18/2019,213000
5/25/2019,218000
6/1/2019,220000
6/8/2019,220000
6/15/2019,219000
6/22/2019,224000
6/29/2019,222000
7/6/2019,211000
7/13/2019,217000
7/20/2019,211000
7/27/2019,216000
8/3/2019,214000
8/10/2019,218000
8/17/2019,215000
8/24/2019,215000
8/31/2019,219000
9/7/2019,208000
9/14/2019,211000
9/21/2019,215000
9/28/2019,218000
10/5/2019,212000
10/12/2019,218000
10/19/2019,213000
10/26/2019,217000
11/2/2019,212000
11/9/2019,222000
11/16/2019,223000
11/23/2019,211000
11/30/2019,206000
12/7/2019,237000
12/14/2019,229000
12/21/2019,218000
12/28/2019,220000
1/4/2020,212000
1/11/2020,207000
1/18/2020,220000
1/25/2020,212000
2/1/2020,201000
2/8/2020,204000
2/15/2020,215000
2/22/2020,220000
2/29/2020,217000
3/7/2020,211000
3/14/2020,282000
3/21/2020,3307000
3/28/2020,6648000
