Date,Adj Close (^W5000)
1/2/2018,27991.17969
1/3/2018,28181.09961
1/4/2018,28273.2207
1/5/2018,28440.55078
1/8/2018,28503.51953
1/9/2018,28543.94922
1/10/2018,28507.08008
1/11/2018,28749.09961
1/12/2018,28917.66992
1/16/2018,28782.32031
1/17/2018,29047.16016
1/18/2018,28984.76953
1/19/2018,29152.18945
1/22/2018,29392.66992
1/23/2018,29472.98047
1/24/2018,29434.66016
1/25/2018,29450.83008
1/26/2018,29760.58984
1/29/2018,29551.08984
1/30/2018,29254.83984
1/31/2018,29237.48047
2/1/2018,29228.4707
2/2/2018,28616.35938
2/5/2018,27490.81055
2/6/2018,27930.83984
2/7/2018,27824.85938
2/8/2018,26822.10938
2/9/2018,27159.39063
2/12/2018,27526.60938
2/13/2018,27607.75977
2/14/2018,28004.58984
2/15/2018,28331.16992
2/16/2018,28337.61914
2/20/2018,28187.63086
2/21/2018,27972.9707
2/22/2018,27980.30078
2/23/2018,28410.09961
2/26/2018,28709.43945
2/27/2018,28339.83984
2/28/2018,28117.01953
3/1/2018,27696.4707
3/2/2018,27879.39063
3/5/2018,28183.68945
3/6/2018,28284.60938
3/7/2018,28285.7207
3/8/2018,28404.19922
3/9/2018,28859.55078
3/12/2018,28863.88086
3/13/2018,28680.11914
3/14/2018,28528.51953
3/15/2018,28466.25
3/16/2018,28545.17969
3/19/2018,28098.28906
3/20/2018,28189.80078
3/21/2018,28165.65039
3/22/2018,27476.91016
3/23/2018,26912.64063
3/26/2018,27605.57031
3/27/2018,27108.48047
3/28/2018,27037.06055
3/29/2018,27410.7207
4/2/2018,26794.31055
4/3/2018,27117.03906
4/4/2018,27420.68945
4/5/2018,27618.66016
4/6/2018,27049.44922
4/9/2018,27108.92969
4/10/2018,27570.75977
4/11/2018,27467.67969
4/12/2018,27658.82031
4/13/2018,27559.94922
4/16/2018,27797.10938
4/17/2018,28099.65039
4/18/2018,28141.51953
4/19/2018,27995.00977
4/20/2018,27775.40039
4/23/2018,27787.21094
4/24/2018,27421.16016
4/25/2018,27446.06055
4/26/2018,27721.92969
4/27/2018,27734.71094
4/30/2018,27520.94922
5/1/2018,27592.56055
5/2/2018,27422.88086
5/3/2018,27347.5
5/4/2018,27699.07031
5/7/2018,27815.66992
5/8/2018,27828.59961
5/9/2018,28078.61914
5/10/2018,28309.83008
5/11/2018,28353.38086
5/14/2018,28362.0293
5/15/2018,28197.86914
5/16/2018,28322.99023
5/17/2018,28328.83984
5/18/2018,28266.58984
5/21/2018,28498.67969
5/22/2018,28360.03906
5/23/2018,28444.16992
5/24/2018,28391.11914
5/25/2018,28335.51953
5/29/2018,28057.78906
5/30/2018,28414.76953
5/31/2018,28218.46094
6/1/2018,28498.61914
6/4/2018,28654.25977
6/5/2018,28700.7207
6/6/2018,28935.16992
6/7/2018,28896.83984
6/8/2018,28987.2793
6/11/2018,29026.63086
6/12/2018,29098.01953
6/13/2018,28983.39063
6/14/2018,29065.84961
6/15/2018,29036.08984
6/18/2018,29021.33008
6/19/2018,28946.49023
6/20/2018,29024.90039
6/21/2018,28784.17969
6/22/2018,28827.67969
6/25/2018,28406.41992
6/26/2018,28494.21094
6/27/2018,28212.98047
6/28/2018,28370.08008
6/29/2018,28394.13086
7/2/2018,28481.94922
7/3/2018,28376.98047
7/5/2018,28621.50977
7/6/2018,28869.2793
7/9/2018,29111.71094
7/10/2018,29159.7207
7/11/2018,28983.66016
7/12/2018,29234.44922
7/13/2018,29261.38086
7/16/2018,29223.59961
7/17/2018,29340.41016
7/18/2018,29438.66016
7/19/2018,29326.26953
7/20/2018,29287.10938
7/23/2018,29363.21094
7/24/2018,29391.41992
7/25/2018,29635.69922
7/26/2018,29570.7207
7/27/2018,29321.74023
7/30/2018,29130.65039
7/31/2018,29295.75
8/1/2018,29262.91992
8/2/2018,29454.93945
8/3/2018,29554.14063
8/6/2018,29689.15039
8/7/2018,29764.56055
8/8/2018,29759.25
8/9/2018,29747.4707
8/10/2018,29566.84961
8/13/2018,29428.85938
8/14/2018,29639.89063
8/15/2018,29369.50977
8/16/2018,29610.05078
8/17/2018,29709.69922
8/20/2018,29807.23047
8/21/2018,29877.10938
8/22/2018,29889.96094
8/23/2018,29830.98047
8/24/2018,30014.7207
8/27/2018,30222.42969
8/28/2018,30201.92969
8/29/2018,30384.50977
8/30/2018,30257.05078
8/31/2018,30274.5293
9/4/2018,30226.71094
9/5/2018,30119.07031
9/6/2018,29990.08984
9/7/2018,29919.28906
9/10/2018,29991.33008
9/11/2018,30103.55078
9/12/2018,30117.06055
9/13/2018,30245.40039
9/14/2018,30275.51953
9/17/2018,30068.73047
9/18/2018,30226.39063
9/19/2018,30232.34961
9/20/2018,30462.28906
9/21/2018,30424
9/24/2018,30313.35938
9/25/2018,30302.59961
9/26/2018,30171.91992
9/27/2018,30250.86914
9/28/2018,30259.82031
10/1/2018,30279.31055
10/2/2018,30255.00977
10/3/2018,30294.91016
10/4/2018,30005.69922
10/5/2018,29823.0293
10/8/2018,29788.14063
10/9/2018,29734.90039
10/10/2018,28767.48047
10/11/2018,28198.4707
10/12/2018,28568.92969
10/15/2018,28445.41992
