key_0,Adj Close (^GSPC),DGS10 [%],T10YIE[%],Confirmed COVID-19 cases,Recovered COVID-19 cases,Deaths due to COVID-19 ,Initial unemployment claims (Seasonally adjusted),Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. No 2 Diesel Retail Prices  (Dollars per Gallon)
2019-01-02,2510.030029,2.66,1.7,0,0,0,220000,2.329,3.013
2019-01-03,2447.889893,2.56,1.68,0,0,0,220000,2.329,3.013
2019-01-04,2531.939941,2.67,1.76,0,0,0,220000,2.329,3.013
2019-01-05,2531.939941,2.67,1.76,0,0,0,220000,2.329,3.013
2019-01-06,2531.939941,2.67,1.76,0,0,0,216000,2.329,3.013
2019-01-07,2549.689941,2.7,1.78,0,0,0,216000,2.329,3.013
2019-01-08,2574.409912,2.73,1.82,0,0,0,216000,2.338,2.976
2019-01-09,2584.959961,2.74,1.83,0,0,0,216000,2.338,2.976
2019-01-10,2596.639893,2.74,1.81,0,0,0,216000,2.338,2.976
2019-01-11,2596.26001,2.71,1.83,0,0,0,216000,2.338,2.976
2019-01-12,2596.26001,2.71,1.83,0,0,0,216000,2.338,2.976
2019-01-13,2596.26001,2.71,1.83,0,0,0,209000,2.338,2.976
2019-01-14,2582.610107,2.71,1.81,0,0,0,209000,2.338,2.976
2019-01-15,2610.300049,2.72,1.81,0,0,0,209000,2.34,2.965
2019-01-16,2616.100098,2.73,1.82,0,0,0,209000,2.34,2.965
2019-01-17,2635.959961,2.75,1.79,0,0,0,209000,2.34,2.965
2019-01-18,2670.709961,2.79,1.83,0,0,0,209000,2.34,2.965
2019-01-19,2670.709961,2.79,1.83,0,0,0,209000,2.34,2.965
2019-01-20,2670.709961,2.79,1.83,0,0,0,236000,2.34,2.965
2019-01-21,2670.709961,2.79,1.83,0,0,0,236000,2.34,2.965
2019-01-22,2632.899902,2.74,1.79,0,0,0,236000,2.343,2.965
2019-01-23,2638.699951,2.76,1.8,0,0,0,236000,2.343,2.965
2019-01-24,2642.330078,2.72,1.77,0,0,0,236000,2.343,2.965
2019-01-25,2664.76001,2.76,1.79,0,0,0,236000,2.343,2.965
2019-01-26,2664.76001,2.76,1.79,0,0,0,236000,2.343,2.965
2019-01-27,2664.76001,2.76,1.79,0,0,0,230000,2.343,2.965
2019-01-28,2643.850098,2.75,1.78,0,0,0,230000,2.343,2.965
2019-01-29,2640,2.72,1.78,0,0,0,230000,2.341,2.966
2019-01-30,2681.050049,2.7,1.84,0,0,0,230000,2.341,2.966
2019-01-31,2704.100098,2.63,1.85,0,0,0,230000,2.341,2.966
2019-02-01,2706.530029,2.7,1.88,0,0,0,230000,2.341,2.966
2019-02-02,2706.530029,2.7,1.88,0,0,0,230000,2.341,2.966
2019-02-03,2706.530029,2.7,1.88,0,0,0,228000,2.341,2.966
2019-02-04,2724.870117,2.73,1.87,0,0,0,228000,2.341,2.966
2019-02-05,2737.699951,2.71,1.87,0,0,0,228000,2.361,2.966
2019-02-06,2731.610107,2.7,1.86,0,0,0,228000,2.361,2.966
2019-02-07,2706.050049,2.65,1.84,0,0,0,228000,2.361,2.966
2019-02-08,2707.879883,2.63,1.82,0,0,0,228000,2.361,2.966
2019-02-09,2707.879883,2.63,1.82,0,0,0,228000,2.361,2.966
2019-02-10,2707.879883,2.63,1.82,0,0,0,218000,2.361,2.966
2019-02-11,2709.800049,2.65,1.82,0,0,0,218000,2.361,2.966
2019-02-12,2744.72998,2.68,1.83,0,0,0,218000,2.4,3.006
2019-02-13,2753.030029,2.71,1.86,0,0,0,218000,2.4,3.006
2019-02-14,2745.72998,2.66,1.85,0,0,0,218000,2.4,3.006
2019-02-15,2775.600098,2.66,1.86,0,0,0,218000,2.4,3.006
2019-02-16,2775.600098,2.66,1.86,0,0,0,218000,2.4,3.006
2019-02-17,2775.600098,2.66,1.86,0,0,0,224000,2.4,3.006
2019-02-18,2775.600098,2.66,1.86,0,0,0,224000,2.4,3.006
2019-02-19,2779.76001,2.65,1.87,0,0,0,224000,2.471,3.048
2019-02-20,2784.699951,2.65,1.89,0,0,0,224000,2.471,3.048
2019-02-21,2774.879883,2.69,1.91,0,0,0,224000,2.471,3.048
2019-02-22,2792.669922,2.65,1.91,0,0,0,224000,2.471,3.048
2019-02-23,2792.669922,2.65,1.91,0,0,0,224000,2.471,3.048
2019-02-24,2792.669922,2.65,1.91,0,0,0,220000,2.471,3.048
2019-02-25,2796.110107,2.67,1.92,0,0,0,220000,2.471,3.048
2019-02-26,2793.899902,2.64,1.92,0,0,0,220000,2.502,3.076
2019-02-27,2792.379883,2.69,1.93,0,0,0,220000,2.502,3.076
2019-02-28,2784.48999,2.73,1.95,0,0,0,220000,2.502,3.076
2019-03-01,2803.689941,2.76,1.96,0,0,0,220000,2.502,3.076
2019-03-02,2803.689941,2.76,1.96,0,0,0,220000,2.502,3.076
