Date,Confirmed COVID-19 cases,Recovered COVID-19 cases,Deaths due to COVID-19 
1/21/2020,0,0,0
1/22/2020,1,0,0
1/23/2020,1,0,0
1/24/2020,2,0,0
1/25/2020,2,0,0
1/26/2020,5,0,0
1/27/2020,5,0,0
1/28/2020,5,0,0
1/29/2020,5,0,0
1/30/2020,5,0,0
1/31/2020,7,0,0
2/1/2020,8,0,0
2/2/2020,8,0,0
2/3/2020,11,0,0
2/4/2020,11,0,0
2/5/2020,11,0,0
2/6/2020,11,0,0
2/7/2020,11,0,0
2/8/2020,11,0,0
2/9/2020,11,3,0
2/10/2020,11,3,0
2/11/2020,12,3,0
2/12/2020,12,3,0
2/13/2020,13,3,0
2/14/2020,13,3,0
2/15/2020,13,3,0
2/16/2020,13,3,0
2/17/2020,13,3,0
2/18/2020,13,3,0
2/19/2020,13,3,0
2/20/2020,13,3,0
2/21/2020,15,5,0
2/22/2020,15,5,0
2/23/2020,15,5,0
2/24/2020,51,5,0
2/25/2020,51,6,0
2/26/2020,57,6,0
2/27/2020,58,6,0
2/28/2020,60,7,0
2/29/2020,68,7,1
3/1/2020,74,7,1
3/2/2020,98,7,6
3/3/2020,118,7,7
3/4/2020,149,7,11
3/5/2020,217,7,12
3/6/2020,262,7,14
3/7/2020,402,7,17
3/8/2020,518,7,21
3/9/2020,583,7,22
3/10/2020,959,8,28
3/11/2020,1281,8,36
3/12/2020,1663,12,41
3/13/2020,2179,12,49
3/14/2020,2727,12,58
3/15/2020,3499,12,73
3/16/2020,4632,17,99
3/17/2020,6421,17,133
3/18/2020,7783,105,164
3/19/2020,13747,121,258
3/20/2020,19273,147,349
3/21/2020,25600,176,442
3/22/2020,33276,178,586
3/23/2020,43843,178,786
3/24/2020,53736,348,1008
3/25/2020,65778,361,1316
3/26/2020,83836,681,1726
3/27/2020,101657,869,2265
3/28/2020,121465,1072,2731
3/29/2020,140909,2665,3420
3/30/2020,161831,5644,4192
3/31/2020,188172,7024,5367
4/1/2020,213242,8474,6501
4/2/2020,243622,9001,7921
4/3/2020,275367,9707,9246
4/4/2020,308650,14652,10855
4/5/2020,336802,17448,12375
4/6/2020,366317,19581,13894
4/7/2020,397121,21763,16191
4/8/2020,428654,23559,18270
4/9/2020,462780,25410,20255
4/10/2020,496535,28790,22333
4/11/2020,526396,31270,24342
4/12/2020,555313,32988,26086
4/13/2020,580619,43482,27870
4/14/2020,607670,47763,30262
4/15/2020,636350,52096,32734
4/16/2020,667592,54703,34827
4/17/2020,699706,58545,37411
4/18/2020,732197,64840,39753
4/19/2020,758809,70337,40945
4/20/2020,784326,72329,42659
4/21/2020,811865,75204,45086
4/22/2020,840351,77366,47412
4/23/2020,869170,80203,49724
4/24/2020,905358,99079,51493
4/25/2020,938154,100372,53755
4/26/2020,965785,106988,54881
4/27/2020,988197,111424,56259
4/28/2020,1012582,115936,58355
4/29/2020,1039909,120720,60967
4/30/2020,1069424,153947,62996
5/1/2020,1103461,164015,64943
5/2/2020,1132539,175382,66369
